# ICC Profile MPE CurveSet Export
# Tag: AToB1Tag
# Element: 0
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.027594628	0.002135807	0.002135807	0.002135807
0.027838828	0.002154708	0.002154708	0.002154708
0.028083028	0.002173609	0.002173609	0.002173609
0.028327229	0.002192510	0.002192510	0.002192510
0.028571429	0.002211411	0.002211411	0.002211411
0.028815629	0.002230312	0.002230312	0.002230312
0.029059829	0.002249213	0.002249213	0.002249213
0.029304029	0.002268114	0.002268114	0.002268114
0.029548230	0.002287015	0.002287015	0.002287015
0.029792430	0.002305916	0.002305916	0.002305916
0.030036630	0.002324817	0.002324817	0.002324817
0.030280830	0.002343717	0.002343717	0.002343717
0.030525031	0.002362618	0.002362618	0.002362618
0.030769231	0.002381519	0.002381519	0.002381519
0.031013431	0.002400420	0.002400420	0.002400420
0.031257633	0.002419321	0.002419321	0.002419321
0.031501833	0.002438222	0.002438222	0.002438222
0.031746034	0.002457123	0.002457123	0.002457123
0.031990234	0.002476024	0.002476024	0.002476024
0.032234434	0.002494925	0.002494925	0.002494925
0.032478634	0.002513826	0.002513826	0.002513826
0.032722834	0.002532727	0.002532727	0.002532727
0.032967035	0.002551628	0.002551628	0.002551628
0.033211235	0.002570529	0.002570529	0.002570529
0.033455435	0.002589430	0.002589430	0.002589430
0.033699635	0.002608331	0.002608331	0.002608331
0.033943836	0.002627232	0.002627232	0.002627232
0.034188036	0.002646133	0.002646133	0.002646133
0.034432236	0.002665034	0.002665034	0.002665034
0.034676436	0.002683935	0.002683935	0.002683935
0.034920637	0.002702836	0.002702836	0.002702836
0.035164837	0.002721737	0.002721737	0.002721737
0.035409037	0.002740638	0.002740638	0.002740638
0.035653237	0.002759539	0.002759539	0.002759539
0.035897437	0.002778439	0.002778439	0.002778439
0.036141638	0.002797340	0.002797340	0.002797340
0.036385838	0.002816241	0.002816241	0.002816241
0.036630038	0.002835142	0.002835142	0.002835142
0.036874238	0.002854043	0.002854043	0.002854043
0.037118439	0.002872944	0.002872944	0.002872944
0.037362639	0.002891845	0.002891845	0.002891845
0.037606839	0.002910746	0.002910746	0.002910746
0.037851039	0.002929647	0.002929647	0.002929647
0.038095240	0.002948548	0.002948548	0.002948548
0.038339440	0.002967449	0.002967449	0.002967449
0.038583640	0.002986350	0.002986350	0.002986350
0.038827840	0.003005251	0.003005251	0.003005251
0.039072040	0.003024152	0.003024152	0.003024152
0.039316241	0.003043053	0.003043053	0.003043053
